,x3,x1,x2,target
3034,0.96328956,-1.553968,1.5129749,0
9613,-0.5512854,-1.6012995,0.86043966,2
9435,-1.5872029,-0.8459956,0.35148966,2
3873,-0.21159782,0.1246284,-0.8784915,0
7990,0.31998226,-0.443164,-0.03049786,2
9632,-1.172912,1.6058397,-1.7785844,2
1166,0.4243384,0.17115721,-0.31873956,0
3904,-0.7002282,1.2575676,0.11408757,0
2277,-0.86324126,-0.6371439,0.31469965,0
9963,0.68296766,1.112546,-0.19932763,2
9453,-1.1021943,-1.2985395,-1.175409,2
4547,1.6759433,-1.3184887,0.7820219,0
776,1.6154246,0.8080258,0.20579244,1
6568,1.1712971,0.181323,-0.8545537,0
2697,-0.89965457,0.49722925,0.2751421,0
5792,1.5030171,1.2829756,0.7275307,0
2935,1.2819581,0.40183493,-0.67618877,0
288,-0.637619,0.06793275,-1.046436,1
6730,0.55582213,-0.15768938,0.9715122,0
4758,0.9482292,-1.4487444,0.64049727,0
9690,1.253782,-0.95942116,-1.3533965,2
7791,-1.698804,-0.4744504,-0.05865877,2
2287,-0.9478605,-0.47132173,0.77432466,0
6245,1.5498862,-1.4573498,0.0088341925,0
3207,-1.619516,-1.3681653,-0.83668244,0
529,1.4566649,0.040952988,0.3648579,1
4254,-0.6070403,0.87800086,-0.53556836,0
8044,-0.14022166,-1.4334888,-0.38948295,2
392,-0.050903693,0.68644667,0.14873014,1
3837,1.1345967,-0.3958438,0.9827339,0
4155,-0.5710251,-1.1244794,0.25502774,0
1276,-0.77265227,1.1191912,-0.8426317,0
4040,-0.83124787,0.1105525,0.06546354,0
6609,1.2110248,0.27203178,0.35531905,0
4412,-1.5504757,-0.99071133,0.400659,0
675,-1.3338598,-1.5723528,-1.0619928,1
4969,-0.83863163,0.9835477,0.25300387,0
1604,-0.77905494,0.43623972,0.5955205,0
6843,0.38188237,0.44405898,1.3358151,0
8538,0.041017532,2.006856,-1.2782778,2
4287,-1.4044644,-1.6947907,0.31665468,0
4696,1.0863475,-0.23433484,-1.1404929,0
6471,1.7178142,1.4803704,-0.38948295,0
8581,1.736483,0.6281967,-1.4595374,2
4438,-0.7692045,-0.873765,0.9014937,0
2920,-1.6160892,-1.6388525,-0.24955603,0
7775,-0.68248427,-0.63597053,0.7053231,2
91,-0.07572561,-1.0959262,0.15301724,1
2483,-0.16699561,-0.41109562,-1.0963861,0
9144,0.8182825,1.5976315,-1.1722254,2
5931,1.5806355,-0.07244327,0.7164569,0
1229,0.5623258,-1.1565531,-0.9510559,0
9602,-1.0176774,0.15590839,-0.51903737,2
8401,-0.57595956,-1.3184887,2.2292094,2
3699,-0.98621535,-1.0243486,0.7479387,0
9578,-0.1873176,-1.6501966,2.0827863,2
341,0.5013075,0.928429,0.5649554,1
9615,1.7324462,0.09491227,-0.07523664,2
1092,0.2287111,0.66338134,0.06098649,0
6126,0.77416253,1.7606207,-0.47531888,0
5487,-0.37097272,1.4831066,0.22235903,0
8182,0.6053607,1.7594482,1.605169,2
1729,1.1652637,0.83734506,-0.48892394,0
8165,1.1376127,0.006543565,0.59888756,2
133,-0.5572077,-1.1135274,0.60560405,1
7860,0.9085786,0.03391473,-1.2266033,2
4800,-0.61147964,-1.6775787,1.2626693,0
4520,-0.6247967,1.0417928,2.5279877,0
4030,1.6749345,-0.39075992,0.03392976,0
6325,-0.32299417,1.3236277,-0.40009516,0
8833,0.7365734,1.5132036,-0.9754924,2
988,-0.71993995,-0.72357756,-0.33432645,1
9630,0.84787226,0.3392799,-1.2169676,2
6741,-0.08664439,1.3697518,0.25704956,0
8250,-1.1797856,-0.47562355,0.85450983,2
4418,0.48030978,0.7916071,0.3225076,0
7245,-1.6572068,0.03547892,1.0380031,2
3262,-1.5769202,1.2911843,0.5563796,0
9895,-0.66375154,-1.0208284,1.403311,2
6338,0.81577533,-0.5683111,-0.60805583,0
6504,1.2331562,1.2345054,-0.43750182,0
7887,0.728556,-1.4800375,-1.0216444,2
1153,0.96529764,-1.3689475,0.47564018,0
5078,-0.09160696,0.63093334,0.73383164,0
8513,1.2271202,-0.76933724,1.6383742,2
9991,0.25314003,-0.22182097,0.22647627,2
7353,0.3703976,-0.316848,1.1485264,2
6211,-0.116910614,-1.2547307,-0.07761399,0
3252,0.5728328,-1.4636085,1.308039,0
6118,0.5698306,0.5038754,1.3273953,0
2642,1.350911,1.0433567,-0.11837221,0
8541,-0.07721457,1.1316997,-1.4195138,2
8482,-0.21853365,0.5003568,-0.28267056,2
2622,0.66293466,1.4420644,-0.80705506,0
984,1.2180663,1.2517046,0.39692327,1
2509,0.7491017,0.025312526,0.9346404,0
3030,1.1536998,0.048773337,0.5887696,0
9634,-1.1125096,-0.47132173,0.05650045,2
5899,1.4405456,-0.4400353,-1.09325,0
3891,-0.67114645,-0.6078116,-0.23691739,0
851,0.98337275,-1.2437786,0.094334036,1
2638,0.0012520708,-0.82331085,-0.2243328,0
8334,1.4949547,0.27203178,-0.27499658,2
9658,-0.2512229,-0.19953115,-0.622154,2
7264,1.3861543,0.412782,0.493484,2
8827,0.7846897,1.7715646,-0.065749995,2
5795,-1.6513335,-1.498422,1.1210659,0
3400,1.4682516,1.2986113,-0.53556836,0
9983,0.23618858,-1.0853657,0.094334036,2
5806,1.7248781,0.076926,-0.032831997,0
6803,0.0007551932,0.4561786,0.4792222,0
5833,1.0933827,0.3729034,0.43211424,0
2816,1.6002982,-0.7673817,-0.79525936,0
8591,0.8493769,0.6047402,0.9417797,2
9106,-0.21159782,-1.4190161,-0.77176315,2
4591,1.0476599,1.0171654,0.17853832,0
8329,-0.26211628,1.2368507,1.7252561,2
8585,-0.8607806,1.7684379,-0.042191662,2
216,-1.4010332,0.84399056,-0.57442814,1
1829,0.919619,-0.375117,-1.5065646,0
7901,-0.351191,-0.38098305,1.8832154,2
5760,-0.7347215,-0.25466946,0.42476073,0
4697,1.000446,-1.2406492,1.5704381,0
4797,1.0783076,0.16333722,-0.23439594,0
4193,0.8147724,-0.17489532,1.9494328,0
7556,-0.4021201,0.8068531,0.71169275,2
9020,1.4889086,-0.86672485,0.42660168,2
3032,-0.47525027,0.95344734,-0.48619887,0
1821,0.16692454,-1.2723325,-0.00036063895,0
8524,0.43433088,0.65751714,-0.1968389,2
7985,-0.8725918,1.4385465,0.38001695,2
3802,-0.50932515,0.43780366,1.1025736,0
4137,-1.4495562,-0.81275076,-0.6533483,0
5003,-0.27845383,-1.1495126,0.82310325,0
7976,1.4622062,1.3029109,0.77586645,2
8065,-0.51574373,0.31699437,0.41552782,2
7438,0.7085148,0.99722946,-0.61368906,2
3243,1.3685318,0.50074786,0.9994597,0
5664,1.4274496,1.5554177,0.47564018,0
9918,-1.6875492,0.9491474,-0.73675686,2
7009,0.16742258,1.8298019,1.8646996,2
8066,0.64891386,0.8060713,-0.22936009,2
6559,-1.6963573,-1.5813498,-1.5607474,0
1464,0.17838125,1.639845,-1.5607474,0
2525,0.78519094,1.598413,-1.1215445,0
8213,-0.2685527,-0.95433646,-0.45906162,2
5955,-0.630715,0.57424647,-1.09325,0
6696,0.66293466,-1.9244161,0.14873014,0
1627,-1.0157115,0.32872376,1.0188147,0
11,-0.02408577,-0.25466946,1.6330472,1
4440,0.2122632,1.1555446,-1.4796476,0
6662,1.6845182,-0.45880702,-0.1015109,0
3651,0.77366126,-1.0231751,-0.39743882,0
8453,-0.80367714,-1.4346623,0.0088341925,2
4416,0.5013075,0.36547494,-0.120789915,0
869,0.6754549,0.7962981,-1.2105532,1
9502,0.47481114,-0.017699627,1.2465211,2
9972,1.1712971,-0.12679726,0.14443327,2
5276,0.24765538,-0.8772851,-1.6428922,0
1695,0.4878085,-0.69815564,-1.112096,0
9802,1.7274007,0.026876478,1.0999199,2
965,-0.50290626,-0.8682895,0.8381168,1
6677,-1.4588671,-0.28712735,-0.60243076,0
9243,1.3277556,-0.87963176,0.06546354,2
7306,1.3106426,1.1379546,0.8781305,2
9614,1.5508946,0.5003568,-0.47531888,2
9596,1.2693788,0.23449746,-1.2041463,2
9298,-1.4118174,-1.4612614,-0.83965635,2
8024,0.39836305,-0.18740872,-1.2009457,2
1164,0.9085786,-1.2484723,1.980554,0
1510,-0.68396294,0.27359587,0.26511368,0
8670,0.87546223,-0.39662597,-1.5471584,2
58,0.77666897,1.7461588,-0.9785556,1
7216,-1.1684935,1.0511745,0.3322198,2
8565,1.5584553,0.0167102,0.3534052,2
3306,-0.767727,0.21142936,0.29305166,0
7911,-1.3171843,-0.5045637,0.3648579,2
3992,1.1989546,1.4186121,0.54257905,0
300,-0.51821226,0.59223,1.283622,1
5854,-0.8145094,0.06206763,1.063784,0
9579,-1.6376284,-1.025913,-0.36572993,2
2218,-1.306884,-0.13931042,-0.03049786,0
6105,-0.6430432,1.4033678,2.1035197,0
4341,1.5740818,0.8451637,0.38001695,0
5781,-1.6204951,1.4510548,-1.1658636,0
4403,0.9391937,0.3259869,-0.78349555,0
7756,-1.3779916,-0.80531955,0.39130476,2
4411,0.6939872,1.1078552,-0.36310124,0
8220,-0.5922411,0.45656964,1.3703884,2
7843,0.7897029,0.797471,1.3056084,2
8512,1.4783279,0.8541546,1.6458136,2
9749,-0.47475633,1.5444733,-0.29807726,2
9774,1.004966,-0.77324843,1.0651326,2
6026,1.1361048,0.5089578,1.4461511,0
7605,0.50230753,1.0492198,0.30095395,2
1195,-0.37245625,-0.9148327,0.6650522,0
8243,-0.95425403,1.5675347,-0.17207502,2
4717,0.3883743,1.656652,-2.043459,0
7040,-1.225927,-0.3559546,-0.725152,2
3507,-1.137067,0.00732566,-1.2523806,0
5492,0.33695054,-0.7556483,2.414383,0
4212,0.49230784,-1.6548905,-0.56050336,0
3713,-1.2431034,-1.4080635,-0.18442947,0
765,-0.8100781,0.30409208,-0.23691739,1
4419,-0.4164544,-0.92734873,1.1052251,0
6011,-1.3819139,1.3791331,0.9785325,0
4502,-0.9857238,-1.3032335,-0.6052423,0
5953,1.1969429,-1.4870782,-1.0588775,0
5169,-0.7066347,0.35570067,2.1569166,0
2854,0.07035937,-0.038032938,-0.9877573,0
5049,-1.4931654,0.73570424,-0.26734167,0
5231,1.012499,0.13283946,-1.3369832,0
8578,-1.487776,-0.5475832,-1.0901158,2
2796,-1.1719303,0.08826506,-1.0901158,0
8895,-0.804662,-1.8716053,-1.6912892,2
4558,-1.4191697,-0.31919438,0.15515746,0
9688,-1.3112986,1.6441442,-0.7309504,2
