x1,x2,x3,target
2.71,10.39,-36.45,med
9.88,5.76,-54.63,med
82.87,1.73,0.83,med
12.99,10.4,-59.6,med
60.1,8.84,-45.87,med
34.86,7.86,-47.64,med
80.26,6.17,-53.52,med
24.13,4.65,-44.11,med
38.16,7.62,-8.86,med
8.06,7.39,4.97,med
31.4,2.85,-27.89,med
35.99,19.02,-25.14,med
6.8,12.15,-1.64,med
28.27,3.66,6.2,med
12.5,9.39,-39.55,med
29.91,4.37,-9.44,med
8.5,7.42,-36.61,med
6.42,7.06,-43.72,med
15.13,9.67,-37.22,med
1.17,6.51,-7.55,med
8.72,25.61,-51.93,med
14.3,8.44,-48.11,med
43.54,4.73,-24.59,med
28.58,1.23,-2.76,med
45.81,7.44,-45.4,med
56.55,9.49,-51.58,med
30.68,5.81,-18.84,med
71.39,8.52,-12.85,med
37.74,16.33,-2.8,med
39.78,0.72,-3.21,med
12.72,8.68,-15.59,med
101.2,17.22,8.43,med
1.61,7.35,-32.71,med
81.77,1.25,-28.09,med
35.25,6.25,-28.32,med
34.41,8.92,-15.65,med
58.27,17.23,-38.15,med
18.28,3.85,-43.69,med
41.29,4.79,-36.31,med
5.5,24.23,-45.81,med
4.3,5.27,-43.6,med
18.72,8.82,-55.83,med
8.4,11.71,-14.49,med
0.08,20.76,-56.2,med
28.9,4.13,3.79,med
24.14,2.99,-56.76,med
35.33,8.71,-27.9,med
22.1,10.74,0.96,med
10.91,19.16,-1.9,med
53.58,10.6,1.16,med
92.07,7.31,-24.0,med
38.62,6.88,-5.1,med
17.77,10.68,-53.13,med
41.83,10.39,-42.18,med
87.48,10.02,9.23,med
19.63,10.63,-19.03,med
51.28,5.53,-24.74,med
76.97,8.3,-25.64,med
87.17,4.47,-9.1,med
86.6,9.4,-2.17,med
32.73,12.07,-0.32,med
8.38,5.77,-47.98,med
60.71,7.59,-19.39,med
35.02,14.09,-14.29,med
70.39,6.15,6.09,med
53.27,13.74,-2.82,med
66.49,7.32,-41.71,med
69.93,2.6,-7.86,med
62.7,4.39,-31.98,med
15.25,8.44,-46.05,med
31.64,14.85,-28.03,med
30.0,5.24,-14.14,med
6.19,9.91,-19.48,med
66.9,2.15,-30.18,med
50.14,12.24,-7.12,med
92.45,4.69,-53.65,med
51.44,20.47,-42.63,med
55.16,17.92,-24.47,med
9.4,8.68,-40.42,med
51.38,6.94,-27.43,med
33.34,5.29,-32.93,med
13.63,9.65,-24.36,med
11.44,7.64,-37.17,med
39.8,11.0,0.45,med
1.32,13.56,9.82,med
56.85,8.31,-7.86,med
66.59,5.49,-10.62,med
58.56,16.95,-36.26,med
21.93,8.78,-51.08,med
-5.77,8.32,-5.38,med
39.77,2.83,-23.99,med
14.48,8.79,-26.18,med
27.27,20.94,-42.51,med
57.29,5.16,-50.07,med
43.26,14.12,-31.48,med
26.87,12.86,-40.86,med
55.36,11.47,-40.59,med
13.2,11.36,-52.82,med
28.05,6.6,-59.07,med
14.58,3.58,-40.37,med
36.42,9.56,-19.06,med
89.56,6.07,1.56,med
19.89,20.58,0.04,med
29.15,0.96,-32.21,med
29.78,12.79,-25.96,med
48.41,7.4,-18.44,med
40.0,12.66,-40.41,med
74.2,16.01,-38.88,med
78.27,6.93,-31.03,med
79.26,4.85,-4.63,med
30.29,14.54,-53.17,med
24.14,13.35,-18.18,med
15.63,3.33,4.58,med
92.02,2.32,-2.97,med
52.35,12.52,-29.05,med
57.61,7.75,-37.97,med
-6.86,10.89,-44.6,med
76.32,11.14,-45.42,med
9.02,6.78,-47.45,med
35.97,2.94,-57.84,med
55.54,13.22,4.47,med
27.94,7.54,-15.74,med
30.45,15.48,-3.42,med
68.46,4.92,-26.64,med
22.13,11.99,-56.37,med
69.97,12.47,-35.19,med
32.54,7.09,-18.45,med
27.54,9.57,8.42,med
3.99,5.33,-50.13,med
20.53,15.35,3.79,med
-6.72,3.02,-37.44,med
75.1,8.59,-3.0,med
58.3,3.42,-16.64,med
14.03,11.19,-35.91,med
36.39,6.56,-38.8,med
25.7,7.53,-44.35,med
71.43,5.4,-51.22,med
60.22,9.13,6.98,med
10.55,9.04,-47.43,med
28.02,3.52,-18.27,med
40.36,6.4,-5.57,med
62.18,3.21,-51.9,med
-4.89,14.17,-38.89,med
42.04,14.03,-22.48,med
0.6,14.64,-57.84,med
70.53,8.31,-27.88,med
32.55,4.35,-33.89,med
64.46,4.43,-24.95,med
45.09,5.37,-28.31,med
13.3,6.1,-32.13,med
29.26,8.47,-43.74,med
74.45,19.57,-36.39,med
68.38,1.34,-45.46,med
34.98,5.28,-54.9,med
36.17,7.87,-22.19,med
18.38,6.26,4.65,med
74.94,12.61,-58.75,med
27.89,4.42,-45.23,med
29.67,1.47,-7.19,med
39.09,5.39,-22.95,med
51.41,12.79,-47.22,med
16.07,7.81,-14.94,med
48.41,19.48,2.86,med
27.47,21.76,-11.85,med
69.39,5.03,-51.79,med
6.82,9.69,-7.43,med
56.22,1.64,-56.19,med
88.53,17.23,-39.43,med
60.5,3.8,7.15,med
17.85,8.77,1.72,med
15.0,10.55,-44.09,med
57.37,9.41,-0.24,med
6.67,11.88,-9.97,med
82.21,6.84,-0.85,med
77.58,4.61,-13.85,med
80.29,3.6,-17.94,med
6.13,3.78,-25.12,med
20.12,4.29,-46.63,med
67.04,9.37,-51.18,med
73.1,8.42,-41.63,med
38.43,19.04,-2.37,med
74.25,7.3,-55.3,med
39.41,8.81,-37.78,med
71.52,14.76,-16.47,med
13.87,11.48,-21.12,med
39.48,3.74,-34.02,med
48.0,9.0,-55.97,med
17.76,2.94,-55.35,med
23.71,6.37,-39.79,med
24.87,9.31,-8.54,med
76.53,14.84,1.77,med
7.19,1.49,-0.21,med
25.59,2.52,-2.05,med
80.73,2.96,8.46,med
17.18,9.57,-25.76,med
79.07,6.08,-58.61,med
29.27,14.86,-21.81,med
72.21,8.97,-24.67,med
62.83,1.43,-12.8,med
73.28,13.51,-48.46,med
62.29,1.26,-5.37,med
78.05,13.3,-15.65,med
81.92,3.34,-46.28,med
44.4,13.41,-42.17,med
25.89,7.45,-46.18,med
20.85,5.78,-28.64,med
28.34,5.58,1.33,med
38.48,10.75,-18.39,med
17.2,11.71,-16.07,med
73.73,8.12,-26.28,med
